X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-82.81137,27.87341,train,3.074995809069639E-4,64.37694083795748,0.6168111809946139
-81.89266,30.33317,train,3.0716388897023564E-4,64.17880933278569,0.6165529823349951
-81.44285,28.5223,train,2.897520698918415E-4,54.332188839196874,0.6026662572004224
-81.38117,28.20609,train,2.614242203042293E-4,46.24104128680468,0.5777895487407135
-81.20348,28.59048,train,3.441972020858508E-4,80.76141457877382,0.643084279814006
-81.46654,28.74599,train,2.908123520425963E-4,54.74356857437135,0.6035405774234224
-82.62636,28.91213,train,2.930349227102754E-4,55.675692535779206,0.6053609040058425
-80.55259,27.81647,train,1.7216325807336037E-4,37.356535925139376,0.4740245460046295
-80.53,27.82,train,1.776596706529382E-4,38.20789406959226,0.4818657363359992
-82.294,27.94505,train,2.87812984991914E-4,53.5503875202838,0.6010572509556111
-81.81452,27.81327,train,2.7851366418263286E-4,50.35128187117988,0.593156208781003
-81.41477,28.10773,train,2.5480017317407633E-4,45.123066635828486,0.5715164601989728
-81.42993,28.10795,train,2.543207553633409E-4,45.0501776239861,0.5710552014737837
-81.43105,28.12213,train,2.5279267175778525E-4,44.6829568166697,0.5695783476440062
-81.41471,28.12228,train,2.7296979913511563E-4,48.53825615758009,0.5882952594832133
-81.43113,28.13673,train,2.5763771491973893E-4,45.77794447898295,0.5742263402895842
-81.38276,28.0887,train,2.6227678328580756E-4,46.39619703397392,0.5785836241369456
-81.41468,28.09294,train,2.5585807594356657E-4,45.31054220667624,0.5725307910055578
-81.42866,28.09294,train,2.5480017317407633E-4,45.123066635828486,0.5715164601989728
-81.39791,28.09295,train,2.590136770579578E-4,45.936558455392834,0.5755280948440735
-81.96936,29.23734,train,3.2978482866979415E-4,74.84070478745771,0.633207473393636
-82.49784,27.87401,train,3.0101124967634433E-4,60.87584612498255,0.6117582548266478
-82.56954,27.97802,train,2.8892342769129943E-4,53.96736708833937,0.6019802605623965
-82.56611,27.97863,train,2.846046763858254E-4,52.12047767931578,0.5983662628411354
-82.63634,28.01704,train,2.9380132496101925E-4,56.012557800773386,0.6059847319302091
-82.46847,28.07012,train,2.9983486776825896E-4,59.870516747618794,0.6108278172565189
-82.46803,29.77821,train,3.351659990639436E-4,76.76697933277934,0.6369584848841163
-82.5097,28.121,train,2.902593364535057E-4,54.52132146215238,0.6030850353730925
-82.16348,28.13467,train,2.859718922173423E-4,52.741261265453716,0.5995174494897894
-82.14698,28.13485,train,2.851831433306051E-4,52.50261675820071,0.5988541348869261
-81.11667,28.48333,train,3.5093148443160986E-4,84.17128678737765,0.6475192154879121
-81.25,28.71667,train,2.98474871153616E-4,58.932102487708484,0.6097465794649399
-81.83024,29.15611,train,3.1047350352690715E-4,66.43721153264319,0.6190834888588086
-81.74756,29.36058,train,3.167899707188703E-4,69.61117005296869,0.62382146570048
-81.80315,27.8718,train,2.580630275675E-4,45.826972376193936,0.5746295669775598
-81.26922,28.83865,train,3.0515856087966295E-4,62.83807787156374,0.6150032999741014
-82.38038,29.57863,train,3.422346489195306E-4,79.78708682173587,0.6417707405967913
-82.36316,29.57912,train,3.450823909493376E-4,81.26668009105454,0.6436735907636498
-82.35028,29.58018,train,3.446926715396117E-4,81.0388577401708,0.6434143765820411
-82.31409,29.5913,train,3.4056295097382994E-4,78.94571107748996,0.640644221969762
-82.26394,29.60811,train,3.437918777263446E-4,80.39471808380698,0.6428137856174869
-82.28077,29.60814,train,3.516538864771683E-4,84.40881302180776,0.6479884243861289
-82.29759,29.60817,train,3.5218410629190655E-4,84.67965510883487,0.6483320144636595
-82.31422,29.6082,train,3.474368912956616E-4,82.4503713494883,0.6452316591224397
-82.33043,29.60925,train,3.606940507122207E-4,87.25338626534669,0.6537562234562055
-82.31538,29.62252,train,3.697846906753603E-4,89.33625475170147,0.659368716882065
-82.11268,28.35573,train,2.7618892386487357E-4,49.565020258789545,0.5911318836496728
-84.28497,30.0876,train,2.319548068592781E-4,42.81169224016383,0.5483741931508451
-81.93225,30.19132,train,3.104736984097066E-4,66.4373316491494,0.6190836368813367
-86.88546,30.50853,train,3.393938150600868E-4,78.49469446782203,0.6398521487266846
-86.59564,30.55194,train,2.939053665619625E-4,56.14378055319868,0.6060692665926797
-86.25163,30.59142,train,2.6010542225856357E-4,46.06617512209916,0.5765553109334947
-81.45218,28.29396,train,2.7045003897467563E-4,47.76376324346278,0.5860472885813941
-86.16208,30.33309,train,3.157298398832095E-4,68.94888052087774,0.6230345106065497
-86.29028,30.36756,train,3.5467012411668537E-4,85.37436389565663,0.6499340855368763
-85.23274,30.81357,train,1.0779780388947143E-4,21.27499593442346,0.36073364076461367
-81.08313,29.31949,train,3.7723331263770656E-4,90.91754094809285,0.6638335954712979
